Image_No,age,gender,race,center_dist,space
36,"{'0-2': 6.496365472230536e-05, '3-9': 0.002050482726190239, '10-19': 0.13738785637542605, '20-29': 40.10045826435089, '30-39': 58.657246828079224, '40-49': 1.1013305746018887, '50-59': 0.0014512069355987478, '60-69': 1.045766993001962e-05, '70+': 2.290108547242653e-07}","{'male': 99.84692335128784, 'female': 0.1530761830508709}","{'white': 97.96528220176697, 'black': 0.001851153137977235, 'latino hispanic': 0.8419333957135677, 'asian': 0.08414427866227925, 'indian': 0.04466077662073076, 'middle eastern': 1.0621345601975918}",,
37,20-29,female,middle eastern,230.9567058996123,48.4562873840332
37,"{'0-2': 4.135735309773736e-06, '3-9': 0.012181035708636045, '10-19': 8.72449204325676, '20-29': 89.14296627044678, '30-39': 2.112358435988426, '40-49': 0.00797839675215073, '50-59': 1.4465382491835044e-05, '60-69': 3.2148357309580433e-07, '70+': 6.7924756097514916e-09}","{'male': 0.019954545132350177, 'female': 99.9800443649292}","{'white': 27.51825451850891, 'black': 0.015094999980647117, 'latino hispanic': 16.60272479057312, 'asian': 0.15207300893962383, 'indian': 1.3021315447986126, 'middle eastern': 54.40972447395325}",,
38,30-39,male,white,229.24441105510078,43.98679733276367
38,"{'0-2': 6.08564487691865e-07, '3-9': 1.1086228113299512e-05, '10-19': 0.02701740595512092, '20-29': 43.124398589134216, '30-39': 54.71745729446411, '40-49': 2.118271589279175, '50-59': 0.012786472507286817, '60-69': 5.8087238130610785e-05, '70+': 8.738775036931656e-07}","{'male': 99.99938607215881, 'female': 0.0006134718205430545}","{'white': 99.75059032440186, 'black': 0.0005519914793694625, 'latino hispanic': 0.041597982635721564, 'asian': 0.00011127148127343389, 'indian': 0.000769174857850885, 'middle eastern': 0.20638275891542435}",,
39,20-29,female,white,193.31321734428818,37.586307525634766
39,"{'0-2': 2.439598523196196e-07, '3-9': 0.00019128563053527614, '10-19': 2.4314524605870247, '20-29': 90.37044048309326, '30-39': 7.132835686206818, '40-49': 0.06493565742857754, '50-59': 0.0001396829361510754, '60-69': 1.7478852143426593e-06, '70+': 2.295074824631982e-08}","{'male': 0.20064432173967361, 'female': 99.7993528842926}","{'white': 94.61105465888977, 'black': 0.003973361890530214, 'latino hispanic': 2.23108921200037, 'asian': 0.022614840418100357, 'indian': 0.11217816499993205, 'middle eastern': 3.0190983787178993}",,
40,20-29,female,white,216.92394980729998,54.86011505126953
40,"{'0-2': 1.6014345405324093e-06, '3-9': 0.013693224173039198, '10-19': 12.145274132490158, '20-29': 85.52707433700562, '30-39': 2.3002002388238907, '40-49': 0.013739291171077639, '50-59': 2.1647613834829826e-05, '60-69': 2.536705068223455e-07, '70+': 6.4817443079512316e-09}","{'male': 0.04329105140641332, 'female': 99.95670914649963}","{'white': 98.15953969955444, 'black': 0.00027404175853007473, 'latino hispanic': 1.3563965447247028, 'asian': 0.001399958819092717, 'indian': 0.03181401116307825, 'middle eastern': 0.4505645018070936}",,
41,20-29,female,black,122.38055401083949,69.98233795166016
41,"{'0-2': 2.3581857533372386e-05, '3-9': 0.01796029246179387, '10-19': 5.187423527240753, '20-29': 82.10749626159668, '30-39': 12.453125417232513, '40-49': 0.22992724552750587, '50-59': 0.00399589043809101, '60-69': 4.315713511005015e-05, '70+': 6.133853869272343e-07}","{'male': 0.00869094583322294, 'female': 99.99130964279175}","{'white': 0.00440767798863817, 'black': 93.09685230255127, 'latino hispanic': 0.47311955131590366, 'asian': 0.004252178041497245, 'indian': 6.4202554523944855, 'middle eastern': 0.0011092941349488683}",,
42,40-49,male,black,241.61539686038225,48.86913299560547
42,"{'0-2': 0.0003123390115433722, '3-9': 0.0001791545173546183, '10-19': 0.0056169221352320164, '20-29': 0.14971140772104263, '30-39': 6.348630785942078, '40-49': 57.248902320861816, '50-59': 35.57281494140625, '60-69': 0.669999374076724, '70+': 0.0038389563997043297}","{'male': 99.99913573265076, 'female': 0.00086414729594253}","{'white': 0.33241561613976955, 'black': 74.15329813957214, 'latino hispanic': 14.121615886688232, 'asian': 0.03622265066951513, 'indian': 10.951849073171616, 'middle eastern': 0.40459828451275826}",,
43,20-29,female,latino hispanic,249.07027120874943,45.89881896972656
43,"{'0-2': 4.0405079282379575e-07, '3-9': 0.0005378548394219251, '10-19': 3.3203542232513428, '20-29': 91.49848818778992, '30-39': 5.155135691165924, '40-49': 0.025433822884224355, '50-59': 5.3760220453114016e-05, '60-69': 3.2492843970999274e-07, '70+': 1.6914167982884365e-09}","{'male': 0.00024194193883886328, 'female': 99.9997615814209}","{'white': 2.6048224419355392, 'black': 19.52095925807953, 'latino hispanic': 72.67197966575623, 'asian': 0.4090528003871441, 'indian': 4.39661517739296, 'middle eastern': 0.39657666347920895}",,
44,30-39,male,white,224.11604137142885,48.694610595703125
44,"{'0-2': 4.108081839149236e-05, '3-9': 0.00035517202832124894, '10-19': 0.0355962198227644, '20-29': 26.067686080932617, '30-39': 70.10762691497803, '40-49': 3.773357719182968, '50-59': 0.01524176768725738, '60-69': 9.401089187122125e-05, '70+': 1.480273059684123e-06}","{'male': 99.99465346336365, 'female': 0.005343357042875141}","{'white': 64.75998163223267, 'black': 0.02726628736127168, 'latino hispanic': 8.153919130563736, 'asian': 0.003482006286503747, 'indian': 1.0405278764665127, 'middle eastern': 26.014819741249084}",,
45,20-29,female,white,270.9575612526803,35.48383712768555
45,"{'0-2': 3.463770159584101e-07, '3-9': 0.00015880195860518143, '10-19': 1.1281083337962627, '20-29': 86.02370619773865, '30-39': 12.772254645824432, '40-49': 0.07561930688098073, '50-59': 0.00014467627806880046, '60-69': 1.3558478784148065e-06, '70+': 1.1582239334284594e-08}","{'male': 0.0019253071513958275, 'female': 99.99806880950928}","{'white': 49.129629135131836, 'black': 0.39708754047751427, 'latino hispanic': 27.126029133796692, 'asian': 0.0721626915037632, 'indian': 3.576352074742317, 'middle eastern': 19.69873309135437}",,
46,30-39,male,latino hispanic,228.84274076317124,40.49224853515625
46,"{'0-2': 0.0004972064289177069, '3-9': 0.0014020286471350119, '10-19': 0.5497095175087452, '20-29': 25.2221018075943, '30-39': 59.856635332107544, '40-49': 12.703332304954529, '50-59': 1.6067052260041237, '60-69': 0.05712886922992766, '70+': 0.0024843022401910275}","{'male': 99.92758631706238, 'female': 0.07241477724164724}","{'white': 37.96429932117462, 'black': 0.7099153473973274, 'latino hispanic': 54.08097505569458, 'asian': 0.026096246438100934, 'indian': 3.268260508775711, 'middle eastern': 3.95045205950737}",,
47,20-29,female,latino hispanic,233.0772404161333,37.935447692871094
