Image_No,age,gender,race,center_dist,space
23,"{'0-2': 0.022961173090152442, '3-9': 12.089165300130844, '10-19': 75.23998618125916, '20-29': 9.059030562639236, '30-39': 1.7460335046052933, '40-49': 1.029638946056366, '50-59': 0.4063684493303299, '60-69': 0.3475471632555127, '70+': 0.05927618476562202}","{'male': 99.65143203735352, 'female': 0.3485743189230561}","{'white': 0.10792405810207129, 'black': 15.486986935138702, 'latino hispanic': 2.5883521884679794, 'asian': 0.8715837262570858, 'indian': 80.30303120613098, 'middle eastern': 0.6421290338039398}",,
24,10-19,female,black,42.720018726587654,87.57705688476562
24,"{'0-2': 1.6674748337663914e-05, '3-9': 0.20989482291042805, '10-19': 53.68914604187012, '20-29': 45.881593227386475, '30-39': 0.2190544269979, '40-49': 0.0002938022134912899, '50-59': 3.566418271816474e-07, '60-69': 8.06431033062438e-09, '70+': 2.4282581154166927e-10}","{'male': 0.03796573437284678, 'female': 99.96203184127808}","{'white': 0.04275842511560768, 'black': 96.1940348148346, 'latino hispanic': 1.0607161559164524, 'asian': 0.19845948554575443, 'indian': 2.497556060552597, 'middle eastern': 0.006475186091847718}",,
25,20-29,male,indian,150.00333329629711,63.465118408203125
25,"{'0-2': 1.1629403218194057e-05, '3-9': 0.03291158063802868, '10-19': 4.740148037672043, '20-29': 91.84972047805786, '30-39': 3.367404267191887, '40-49': 0.009801710984902456, '50-59': 1.9568119569157716e-06, '60-69': 4.961305255513082e-08, '70+': 5.372092961447583e-10}","{'male': 99.99108910560608, 'female': 0.008905620779842138}","{'white': 0.3364931559190154, 'black': 0.00039387277865898795, 'latino hispanic': 0.8185507729649544, 'asian': 0.0004038065526401624, 'indian': 57.99404978752136, 'middle eastern': 40.85010886192322}",,
26,10-19,male,asian,92.0869154657707,80.86023330688477
26,"{'0-2': 5.5159335943244514e-05, '3-9': 0.2460334450006485, '10-19': 50.445556640625, '20-29': 48.84100556373596, '30-39': 0.4659851547330618, '40-49': 0.0013570062037615571, '50-59': 2.7962361315303497e-06, '60-69': 2.6432493971384474e-07, '70+': 4.999533426142122e-09}","{'male': 99.99419450759888, 'female': 0.005805284308735281}","{'white': 3.007926046848297, 'black': 0.01771944807842374, 'latino hispanic': 30.068042874336243, 'asian': 65.23892283439636, 'indian': 1.2289870530366898, 'middle eastern': 0.4384005907922983}",,
27,20-29,female,asian,63.78871373526825,82.92646408081055
27,"{'0-2': 2.1802145866445244e-06, '3-9': 0.05601115990430117, '10-19': 17.528221011161804, '20-29': 82.25178122520447, '30-39': 0.16389053780585527, '40-49': 9.80807612904755e-05, '50-59': 5.1887683039097965e-08, '60-69': 2.24715471924819e-09, '70+': 4.255014309645366e-11}","{'male': 0.003412890146137215, 'female': 99.99658465385437}","{'white': 1.9854292273521423, 'black': 0.0005527272151084617, 'latino hispanic': 2.2522097453475, 'asian': 94.94230151176453, 'indian': 0.6892528850585222, 'middle eastern': 0.13026149244979024}",,
28,10-19,female,indian,26.076809620810597,89.11256790161133
28,"{'0-2': 1.1674660349569876e-06, '3-9': 0.1796961296349764, '10-19': 64.75269198417664, '20-29': 34.983181953430176, '30-39': 0.08435015333816409, '40-49': 7.992125574673992e-05, '50-59': 3.269973181119212e-08, '60-69': 1.3225697446939133e-09, '70+': 3.1210946912878235e-11}","{'male': 0.03826468891929835, 'female': 99.9617338180542}","{'white': 5.7323407381772995, 'black': 0.015537119179498404, 'latino hispanic': 30.809685587882996, 'asian': 0.07509907009080052, 'indian': 55.62789440155029, 'middle eastern': 7.739442586898804}",,
29,10-19,female,indian,12.806248474865697,67.87405014038086
29,"{'0-2': 9.844907999934094e-07, '3-9': 1.3022427447140217, '10-19': 80.24944067001343, '20-29': 18.41253936290741, '30-39': 0.035754439886659384, '40-49': 1.952850539055362e-05, '50-59': 1.2718893993568514e-08, '60-69': 3.970757316701379e-10, '70+': 4.637793377419361e-12}","{'male': 0.02947094035334885, 'female': 99.97052550315857}","{'white': 0.0052825962484348565, 'black': 0.0022349873688654043, 'latino hispanic': 0.16655795043334365, 'asian': 0.00044976904973736964, 'indian': 99.73884224891663, 'middle eastern': 0.08663426269777119}",,
30,20-29,female,latino hispanic,37.0540146272978,92.1121597290039
30,"{'0-2': 9.371297693405722e-06, '3-9': 0.11769924312829971, '10-19': 39.84774053096771, '20-29': 59.869956970214844, '30-39': 0.16442768974229693, '40-49': 0.00017186366676469333, '50-59': 1.415629502510285e-07, '60-69': 8.544442237079508e-09, '70+': 2.170524393899087e-10}","{'male': 0.012164326471975073, 'female': 99.98783469200134}","{'white': 5.90587742626667, 'black': 0.2985443687066436, 'latino hispanic': 43.50259602069855, 'asian': 27.720272541046143, 'indian': 21.103325486183167, 'middle eastern': 1.4693831093609333}",,
31,10-19,female,asian,2.23606797749979,98.92807006835938
31,"{'0-2': 2.8122420303589024e-05, '3-9': 1.1404499411582947, '10-19': 66.21236205101013, '20-29': 32.48673677444458, '30-39': 0.16020144103094935, '40-49': 0.00022501981220557354, '50-59': 2.6430622135364956e-07, '60-69': 1.7501801397035166e-08, '70+': 4.520927469192637e-10}","{'male': 0.005602595047093928, 'female': 99.99439716339111}","{'white': 1.1608905158936977, 'black': 0.005983006485621445, 'latino hispanic': 17.19314008951187, 'asian': 63.62472176551819, 'indian': 17.787107825279236, 'middle eastern': 0.22816145792603493}",,
32,10-19,female,latino hispanic,18.439088914585774,89.50424194335938
