Image_No,age,gender,race,emotion,center_dist,space
18,29,"{'male': 8.085507154464722, 'female': 91.9144868850708}","{'asian': 2.8909269720315933, 'indian': 2.9516899958252907, 'black': 0.259489961899817, 'white': 58.84513258934021, 'middle eastern': 18.81868839263916, 'latino hispanic': 16.23406708240509}","{'angry': 0.0003534656831748598, 'disgust': 1.804082189236389e-09, 'fear': 0.018973429462780272, 'happy': 97.08098803985261, 'sad': 0.009623587119328649, 'surprise': 0.2801993993432046, 'neutral': 2.6098523903069033}",,
19,24,female,white,happy,3.1622776601683795,81.54867256637168
19,24,"{'male': 0.11486421572044492, 'female': 99.88512992858887}","{'asian': 0.010066635405151795, 'indian': 0.007842729766741944, 'black': 0.00016789767004712902, 'white': 95.45599276352014, 'middle eastern': 2.9779778968718174, 'latino hispanic': 1.5479473414483855}","{'angry': 0.002235689632032659, 'disgust': 0.00640799446041849, 'fear': 0.0006321297327551785, 'happy': 98.31333150347064, 'sad': 1.386264235452666, 'surprise': 0.0001474905022095641, 'neutral': 0.290980673043768}",,
20,33,female,middle eastern,neutral,10.295630140987,69.29392446633827
20,33,"{'male': 6.4345113933086395, 'female': 93.5654878616333}","{'asian': 22.220003439188208, 'indian': 7.646456071523194, 'black': 0.6458834664305131, 'white': 15.373423121775575, 'middle eastern': 42.82671468417136, 'latino hispanic': 11.287518518419178}","{'angry': 2.151664367751935e-06, 'disgust': 2.405836732991448e-25, 'fear': 0.019552567971191648, 'happy': 1.021829443594745e-08, 'sad': 0.2652868545085961, 'surprise': 3.376897611996676e-14, 'neutral': 99.71515539703901}",,
21,24,male,asian,happy,15.811388300841898,29.149866666666668
21,24,"{'male': 99.96273517608643, 'female': 0.03725783608388156}","{'asian': 99.05900955200195, 'indian': 0.05666248616762459, 'black': 0.00132164213937358, 'white': 0.029046059353277087, 'middle eastern': 0.0007991113307070918, 'latino hispanic': 0.8531608618795872}","{'angry': 4.50380097860134e-06, 'disgust': 7.463921419222064e-10, 'fear': 0.000893796148898968, 'happy': 98.09660304168482, 'sad': 0.00011122300046655305, 'surprise': 0.000424022826144901, 'neutral': 1.9019608588195358}",,
22,29,male,white,happy,150.08331019803637,39.707317073170735
22,29,"{'male': 81.27519488334656, 'female': 18.724799156188965}","{'asian': 1.1564923638991176e-06, 'indian': 3.609906964895594e-06, 'black': 3.843044590730293e-08, 'white': 99.8431861587541, 'middle eastern': 0.06452107731374176, 'latino hispanic': 0.09228336921681532}","{'angry': 0.0004312854343879735, 'disgust': 7.269866930670332e-07, 'fear': 0.006447420309996232, 'happy': 99.32336211204529, 'sad': 0.0063467239669989794, 'surprise': 0.04401688347570598, 'neutral': 0.6193946115672588}",,
23,28,female,white,happy,5.8309518948453,84.93333333333334
