Image_No,age,gender,race,emotion,center_dist,space
16,23,"{'male': 99.69576597213745, 'female': 0.30423805583268404}","{'asian': 0.00038443790799647104, 'indian': 0.10101011721417308, 'black': 1.9450607169346767e-05, 'white': 86.25606894493103, 'middle eastern': 12.104946374893188, 'latino hispanic': 1.5375757589936256}","{'angry': 94.23220719291015, 'disgust': 5.6640106589151394e-14, 'fear': 5.102649635234453, 'happy': 0.665130459301499, 'sad': 4.3655973801251245e-09, 'surprise': 1.148584074144463e-07, 'neutral': 1.86307428598269e-05}",,
17,30,female,indian,happy,109.29318368498558,74.25727844238281
17,30,"{'male': 0.002940277772722766, 'female': 99.9970555305481}","{'asian': 0.0017433008906664327, 'indian': 90.78066349029541, 'black': 0.0017391097571817227, 'white': 0.10586939752101898, 'middle eastern': 0.5793009418994188, 'latino hispanic': 8.530685305595398}","{'angry': 1.447334141641346e-11, 'disgust': 2.250815991152292e-24, 'fear': 6.339526690267124e-16, 'happy': 99.21460747718811, 'sad': 1.307517150106463e-08, 'surprise': 1.3992698059267505e-10, 'neutral': 0.7853934541344643}",,
18,28,female,indian,neutral,19.6468827043885,87.92953491210938
18,28,"{'male': 0.03700886736623943, 'female': 99.96298551559448}","{'asian': 0.5065388046205044, 'indian': 79.9921452999115, 'black': 0.17602324951440096, 'white': 0.13794091064482927, 'middle eastern': 0.11233837576583028, 'latino hispanic': 19.07501071691513}","{'angry': 0.0035076689528068528, 'disgust': 2.082311509636267e-11, 'fear': 0.0008633564902993385, 'happy': 1.560125468813567e-05, 'sad': 0.01118048166972585, 'surprise': 0.0018932780221803114, 'neutral': 99.98254179954529}",,
19,29,male,indian,neutral,31.38470965295043,63.488006591796875
19,29,"{'male': 99.99877214431763, 'female': 0.001226588119607186}","{'asian': 10.764335095882416, 'indian': 47.71047830581665, 'black': 3.7475015968084335, 'white': 0.7352862041443586, 'middle eastern': 0.2790114376693964, 'latino hispanic': 36.76338791847229}","{'angry': 0.023315989463332413, 'disgust': 3.378479568123606e-17, 'fear': 0.002296399862186137, 'happy': 1.7547279120913445e-07, 'sad': 0.0020812650622226894, 'surprise': 6.570877123270068e-07, 'neutral': 99.97230768038676}",,
20,29,female,asian,neutral,42.755116652863904,72.95608520507812
20,29,"{'male': 0.00020708860120066674, 'female': 99.99979734420776}","{'asian': 99.9992907046849, 'indian': 0.00014541486464614406, 'black': 1.5316814008587075e-08, 'white': 5.397934154992993e-06, 'middle eastern': 3.232007519343252e-10, 'latino hispanic': 0.0005617815866725487}","{'angry': 5.77977168347843e-06, 'disgust': 1.864360289479213e-20, 'fear': 0.00013687832733921823, 'happy': 1.5585328583256342e-06, 'sad': 0.0036245706724002957, 'surprise': 1.0603420363963778e-07, 'neutral': 99.9962329864502}",,
21,30,female,latino hispanic,neutral,21.470910553583888,53.18336486816406
21,30,"{'male': 0.11265159118920565, 'female': 99.88734126091003}","{'asian': 5.064262077212334, 'indian': 6.849943101406097, 'black': 0.6561214569956064, 'white': 18.78947913646698, 'middle eastern': 8.754365146160126, 'latino hispanic': 59.88582968711853}","{'angry': 0.10940461652353406, 'disgust': 0.00987326493486762, 'fear': 7.523036748170853, 'happy': 5.995803698897362, 'sad': 6.029680743813515, 'surprise': 0.25578695349395275, 'neutral': 80.07641434669495}",,
22,30,female,indian,neutral,281.6842203603177,32.85980224609375
