Image_No,age,gender,race,emotion,center_dist,space
17,33,male,white,happy,166.33099530754936,32.561492919921875
17,33,"{'male': 99.92350339889526, 'female': 0.07650353363715112}","{'asian': 0.0002795639996488774, 'indian': 0.002696651223893909, 'black': 9.33893771801797e-05, 'white': 95.14617890990847, 'middle eastern': 3.9601030325951, 'latino hispanic': 0.8906506532818469}","{'angry': 2.5829808691923972e-05, 'disgust': 4.186521463701853e-11, 'fear': 4.93014473690323e-07, 'happy': 88.69346976280212, 'sad': 0.0010916241080849431, 'surprise': 3.644393586910155e-05, 'neutral': 11.30538135766983}",,
18,27,female,white,happy,51.19570294468082,51.27410888671875
18,27,"{'male': 0.007669851038372144, 'female': 99.99233484268188}","{'asian': 0.32892974191485297, 'indian': 0.15285031151251863, 'black': 0.0201294327045639, 'white': 69.97934400912189, 'middle eastern': 5.381290935354885, 'latino hispanic': 24.137458153811583}","{'angry': 1.5202760161869833e-07, 'disgust': 2.927697214977383e-12, 'fear': 7.532213047722891e-09, 'happy': 99.88493919372559, 'sad': 2.0612576090428547e-07, 'surprise': 4.332922998173672e-06, 'neutral': 0.11505755828693509}",,
19,36,male,white,happy,120.26637102698328,50.86212158203125
19,36,"{'male': 99.99949932098389, 'female': 0.0005001733825338306}","{'asian': 20.205537974834442, 'indian': 8.2485131919384, 'black': 3.0425576493144035, 'white': 29.936501383781433, 'middle eastern': 24.10927712917328, 'latino hispanic': 14.45760577917099}","{'angry': 0.0006646393558185082, 'disgust': 6.6364386208661585e-09, 'fear': 0.24015638045966625, 'happy': 80.42731881141663, 'sad': 0.045824964763596654, 'surprise': 0.005702432099496946, 'neutral': 19.280332326889038}",,
20,31,male,white,happy,61.351446600711874,22.504806518554688
20,31,"{'male': 99.72623586654663, 'female': 0.27376762591302395}","{'asian': 2.0394126665213008e-08, 'indian': 3.596244968484541e-08, 'black': 1.2125125122691705e-10, 'white': 99.99632835388184, 'middle eastern': 0.0015858815459068865, 'latino hispanic': 0.00208507917704992}","{'angry': 2.3959931816364133e-07, 'disgust': 4.746287246829653e-15, 'fear': 3.308028503901106e-09, 'happy': 99.8191773891449, 'sad': 1.0873691280721687e-06, 'surprise': 8.990048705470599e-08, 'neutral': 0.1808208879083395}",,
21,39,male,white,happy,111.400179533069,22.1527099609375
21,39,"{'male': 80.22827506065369, 'female': 19.771726429462433}","{'asian': 0.596071220934391, 'indian': 2.0875414833426476, 'black': 0.23214181419461966, 'white': 49.234890937805176, 'middle eastern': 22.481411695480347, 'latino hispanic': 25.36795139312744}","{'angry': 4.70372000519364e-06, 'disgust': 1.5579878594394318e-08, 'fear': 4.357163778582694e-06, 'happy': 99.78306292194503, 'sad': 1.766367140144791e-05, 'surprise': 0.0001077668749190797, 'neutral': 0.21680243208571864}",,
22,25,female,white,happy,162.8649747490233,31.05010986328125
22,25,"{'male': 7.345130294561386, 'female': 92.6548719406128}","{'asian': 1.7931882292032242, 'indian': 0.07870889967307448, 'black': 0.007890945562394336, 'white': 86.34113073348999, 'middle eastern': 5.145638808608055, 'latino hispanic': 6.633441150188446}","{'angry': 1.1279997457002695e-05, 'disgust': 1.3392433350979304e-10, 'fear': 6.14943826938618e-06, 'happy': 99.9180615045951, 'sad': 1.1247235045905115e-05, 'surprise': 0.0026560292570765643, 'neutral': 0.07925001192465282}",,
23,39,male,white,happy,128.69343417595167,30.96160888671875
23,39,"{'male': 96.94480895996094, 'female': 3.055192343890667}","{'asian': 3.862102710205794e-06, 'indian': 1.6295531158095527e-05, 'black': 1.0807935479369717e-07, 'white': 99.81443884200587, 'middle eastern': 0.10529196497297705, 'latino hispanic': 0.08024893675757208}","{'angry': 2.15985021534415e-08, 'disgust': 1.2942237393368647e-21, 'fear': 1.7437153066943156e-10, 'happy': 99.99881982803345, 'sad': 3.017079424835756e-10, 'surprise': 0.0009597390089766122, 'neutral': 0.00021818159439135343}",,
24,34,female,white,happy,150.5257453062432,35.778045654296875
24,34,"{'male': 0.014056707732379436, 'female': 99.98594522476196}","{'asian': 5.234505293717191e-05, 'indian': 8.589455433900278e-05, 'black': 1.144223075022507e-06, 'white': 98.93063890107142, 'middle eastern': 0.43457164953013055, 'latino hispanic': 0.6346534762863488}","{'angry': 4.9160468769659507e-14, 'disgust': 1.0698592750901627e-27, 'fear': 5.1202418524721325e-18, 'happy': 99.99797344207764, 'sad': 2.3660054818130938e-09, 'surprise': 5.988945394770346e-14, 'neutral': 0.0020273624613764696}",,
25,29,male,white,neutral,121.80722474467595,47.52197265625
25,29,"{'male': 100.0, 'female': 1.3866022996467109e-06}","{'asian': 2.8189191551448386e-08, 'indian': 2.3362897454732862e-07, 'black': 6.791078087618172e-10, 'white': 99.94629621185638, 'middle eastern': 0.025898592227613464, 'latino hispanic': 0.02780790257240251}","{'angry': 0.0534143706317991, 'disgust': 1.4792065906657888e-14, 'fear': 4.703746073198012e-09, 'happy': 29.222851991653442, 'sad': 0.0004983362487109844, 'surprise': 8.193244980247982e-05, 'neutral': 70.72315216064453}",,
26,39,male,white,happy,99.68951800465283,55.81207275390625
26,39,"{'male': 99.99457597732544, 'female': 0.005427399446489289}","{'asian': 0.020484489505179226, 'indian': 0.061893503880128264, 'black': 0.002988785672641825, 'white': 90.0330126285553, 'middle eastern': 5.70470467209816, 'latino hispanic': 4.1769202798604965}","{'angry': 0.0007917158620586802, 'disgust': 2.5624741242238192e-11, 'fear': 6.008768161717616e-05, 'happy': 99.97910857449668, 'sad': 0.00015450030309633464, 'surprise': 3.2906526910779305e-07, 'neutral': 0.01987950144607929}",,
27,30,male,black,happy,155.00322577288512,34.7442626953125
27,30,"{'male': 86.6708755493164, 'female': 13.329125940799713}","{'asian': 0.00010528585789870704, 'indian': 0.002384497747698333, 'black': 99.99572038650513, 'white': 3.6755590571146968e-06, 'middle eastern': 2.7021043180752713e-06, 'latino hispanic': 0.0017799720808397979}","{'angry': 0.007532738248906329, 'disgust': 1.3273252212733569e-09, 'fear': 7.367335554432159e-05, 'happy': 99.62294099467641, 'sad': 0.0008072147037652237, 'surprise': 0.0015203602739696461, 'neutral': 0.36713089653884745}",,
28,34,male,latino hispanic,happy,126.0634760745554,46.91314697265625
28,34,"{'male': 99.97432827949524, 'female': 0.02567654591985047}","{'asian': 3.9276787105415716, 'indian': 5.873013987900494, 'black': 1.564515196027183, 'white': 29.642162280340468, 'middle eastern': 25.132209078336846, 'latino hispanic': 33.860425217202334}","{'angry': 0.0005222484560363228, 'disgust': 2.4331411885292198e-08, 'fear': 4.028818167967074e-07, 'happy': 96.44949436187744, 'sad': 0.0008465957762382459, 'surprise': 1.6260784718724608e-05, 'neutral': 3.5491202026605606}",,
29,25,female,white,happy,116.99999999999999,40.477752685546875
29,25,"{'male': 0.3481249790638685, 'female': 99.65187311172485}","{'asian': 0.12438168896282446, 'indian': 0.25249474465909666, 'black': 0.01830449546177367, 'white': 81.81703903471958, 'middle eastern': 8.615555332236847, 'latino hispanic': 9.172218689654029}","{'angry': 0.36189642269164324, 'disgust': 0.003854502210742794, 'fear': 0.13317062985152006, 'happy': 72.10766077041626, 'sad': 0.6881945300847292, 'surprise': 0.0846901850309223, 'neutral': 26.620537042617798}",,
30,33,female,white,happy,42.720018726587654,57.85713195800781
30,33,"{'male': 7.575251907110214, 'female': 92.42475032806396}","{'asian': 2.7433540672063828, 'indian': 2.34761293977499, 'black': 0.30221419874578714, 'white': 61.95659637451172, 'middle eastern': 10.456321388483047, 'latino hispanic': 22.193901240825653}","{'angry': 5.535400290261963e-12, 'disgust': 2.6341170787903363e-18, 'fear': 1.0445898296742098e-12, 'happy': 99.9998927116394, 'sad': 1.7846871983723256e-10, 'surprise': 3.627579109360046e-13, 'neutral': 0.00010988401299982797}",,
31,40,male,white,neutral,147.80054127099805,39.03312683105469
31,40,"{'male': 99.92252588272095, 'female': 0.07747831987217069}","{'asian': 1.763789259772797e-06, 'indian': 1.3178134344880686e-06, 'black': 8.186321477366336e-09, 'white': 99.95555282168951, 'middle eastern': 0.015167190224025073, 'latino hispanic': 0.029267629146337015}","{'angry': 0.08909971169417868, 'disgust': 6.691106308160982e-05, 'fear': 0.07667672928172227, 'happy': 1.215941997077584, 'sad': 1.9690326657314698, 'surprise': 0.013162049492701113, 'neutral': 96.63602093672877}",,
32,33,female,white,happy,68.00735254367721,67.96875
32,33,"{'male': 0.20485189743340015, 'female': 99.79515671730042}","{'asian': 0.06572643178515136, 'indian': 0.09574450086802244, 'black': 0.001994706690311432, 'white': 86.67140603065491, 'middle eastern': 7.835499942302704, 'latino hispanic': 5.32962866127491}","{'angry': 3.3073106529893067e-06, 'disgust': 2.0373024601119776e-14, 'fear': 3.839177129285048e-09, 'happy': 99.99037981148007, 'sad': 2.4606165280808413e-07, 'surprise': 2.4809784600143452e-08, 'neutral': 0.00961227591697004}",,
33,26,male,white,neutral,150.62536307010183,36.7431640625
33,26,"{'male': 99.56383109092712, 'female': 0.43617463670670986}","{'asian': 0.00021501080316911248, 'indian': 0.0017051412428338818, 'black': 3.064805095355162e-05, 'white': 98.27957728857723, 'middle eastern': 1.2744753278166447, 'latino hispanic': 0.4440032009337188}","{'angry': 1.8657717853784561, 'disgust': 5.4764037749066574e-08, 'fear': 8.809509128332138, 'happy': 0.09753794292919338, 'sad': 4.2427849024534225, 'surprise': 0.4520961083471775, 'neutral': 84.53229665756226}",,
34,37,male,middle eastern,fear,148.33745312630927,39.73274230957031
34,37,"{'male': 99.98325109481812, 'female': 0.01674311643000692}","{'asian': 1.9974932074546814, 'indian': 6.00346177816391, 'black': 0.1792679657228291, 'white': 35.9563022851944, 'middle eastern': 39.39427733421326, 'latino hispanic': 16.469202935695648}","{'angry': 3.4127054907504015, 'disgust': 2.385151995967086e-07, 'fear': 84.03875732652887, 'happy': 2.0521077972143183e-05, 'sad': 11.121576197241318, 'surprise': 0.00069981983493871, 'neutral': 1.426243028863849}",,
35,33,female,white,happy,84.48076704197234,52.22969055175781
35,33,"{'male': 2.1762119606137276, 'female': 97.82378673553467}","{'asian': 2.121632359921932, 'indian': 1.2615082785487175, 'black': 0.11267022928223014, 'white': 58.29553008079529, 'middle eastern': 24.854843318462372, 'latino hispanic': 13.353817164897919}","{'angry': 1.1879407800734043, 'disgust': 0.0005213064923736965, 'fear': 3.9291895925998688, 'happy': 88.48432898521423, 'sad': 6.303536891937256, 'surprise': 0.0002949375812022481, 'neutral': 0.09419771376997232}",,
36,27,female,white,happy,67.67569726275453,59.09271240234375
36,27,"{'male': 0.04038115148432553, 'female': 99.95961785316467}","{'asian': 2.5360633234464404e-06, 'indian': 4.037418806485623e-06, 'black': 7.73487293045865e-09, 'white': 99.79485871853129, 'middle eastern': 0.048752338634525105, 'latino hispanic': 0.1563795073734811}","{'angry': 1.6876013830824377e-05, 'disgust': 7.04376921373262e-10, 'fear': 6.7200588205196254e-06, 'happy': 98.1033444404602, 'sad': 0.010404553904663771, 'surprise': 0.0032756557629909366, 'neutral': 1.8829481676220894}",,
37,31,female,white,happy,95.70788891204319,58.16459655761719
37,31,"{'male': 0.5140681751072407, 'female': 99.48593378067017}","{'asian': 0.0033028572643960547, 'indian': 0.025126515453500694, 'black': 0.0010672501594975866, 'white': 86.04995178580859, 'middle eastern': 8.226357164817195, 'latino hispanic': 5.694190851546424}","{'angry': 3.5057248439908863e-05, 'disgust': 2.8739853877811812e-08, 'fear': 0.00026889696766596143, 'happy': 99.84892009788275, 'sad': 0.0013842533832925526, 'surprise': 0.0007088776296377585, 'neutral': 0.14868401644358137}",,
38,33,female,white,happy,100.84145972763385,52.477264404296875
38,33,"{'male': 0.014345164527185261, 'female': 99.98564720153809}","{'asian': 0.6618615705519915, 'indian': 1.5472338534891605, 'black': 0.086050177924335, 'white': 44.663986563682556, 'middle eastern': 14.462925493717194, 'latino hispanic': 38.57794106006622}","{'angry': 9.331434151972258e-32, 'disgust': 0.0, 'fear': 0.0, 'happy': 100.0, 'sad': 5.760062643667338e-31, 'surprise': 2.9000751943304548e-18, 'neutral': 6.742142109363025e-11}",,
39,29,male,white,happy,123.0,50.390625
39,29,"{'male': 99.99845027923584, 'female': 0.0015536385035375133}","{'asian': 0.24649758678703465, 'indian': 0.2558957247485847, 'black': 0.045611514744093744, 'white': 76.81412973235491, 'middle eastern': 15.464059655182403, 'latino hispanic': 7.1738033385511235}","{'angry': 0.02319545455975458, 'disgust': 0.006492493412224576, 'fear': 14.19365108013153, 'happy': 85.38390398025513, 'sad': 0.11445875279605389, 'surprise': 0.009080732706934214, 'neutral': 0.2692245878279209}",,
40,32,female,white,happy,118.00423721205946,47.895050048828125
40,32,"{'male': 5.597341257157495e-06, 'female': 100.0}","{'asian': 0.03287297921931246, 'indian': 0.10455927030780669, 'black': 0.00249904557899308, 'white': 84.16771481422009, 'middle eastern': 8.841658819716118, 'latino hispanic': 6.850694048321957}","{'angry': 1.4429200835466144e-11, 'disgust': 2.113524271749354e-17, 'fear': 7.669614943139891e-10, 'happy': 99.99839067459106, 'sad': 1.71326668130245e-09, 'surprise': 6.067208957460934e-07, 'neutral': 0.0016071830032160506}",,
41,25,male,white,happy,174.73408368146153,29.172897338867188
41,25,"{'male': 99.95940327644348, 'female': 0.04059445345774293}","{'asian': 1.8728493206808053e-07, 'indian': 6.571952707400435e-07, 'black': 1.5268658775913075e-09, 'white': 99.89355801901567, 'middle eastern': 0.07722374744929358, 'latino hispanic': 0.02921841979956149}","{'angry': 2.8965176923634317e-07, 'disgust': 1.4696152820537383e-18, 'fear': 6.559121995541872e-09, 'happy': 99.99934434890747, 'sad': 1.0770688507744097e-08, 'surprise': 5.216117315853808e-06, 'neutral': 0.0006512304480565945}",,
42,28,female,white,happy,118.87808881370864,44.474029541015625
