Image_No,age,gender,race,emotion,center_dist,space
25,32,"{'male': 99.99842643737793, 'female': 0.0015735971828689799}","{'asian': 7.196429836881385e-06, 'indian': 2.291543545814964, 'black': 1.3830678227720753e-05, 'white': 5.486520334274789, 'middle eastern': 90.43179097365088, 'latino hispanic': 1.7901268923358258}","{'angry': 3.582814115719328e-05, 'disgust': 1.6532839354641313e-16, 'fear': 2.7153337450106055e-08, 'happy': 0.21694279017981408, 'sad': 0.0021804872760177855, 'surprise': 1.2421043822708561e-07, 'neutral': 99.78083970775131}",,
26,23,male,asian,neutral,92.0869154657707,80.86023330688477
26,23,"{'male': 99.98372793197632, 'female': 0.016273641085717827}","{'asian': 93.1302547454834, 'indian': 1.163771841675043, 'black': 0.038526460411958396, 'white': 0.1097473781555891, 'middle eastern': 0.0022794160031480715, 'latino hispanic': 5.555418878793716}","{'angry': 0.7225174526849445, 'disgust': 1.1528485124466065e-09, 'fear': 0.0005161186275939138, 'happy': 0.29211546071732514, 'sad': 0.9717997867703692, 'surprise': 5.0607007657925616e-05, 'neutral': 98.01299595677901}",,
27,27,female,asian,happy,63.78871373526825,82.92646408081055
27,27,"{'male': 0.01263208978343755, 'female': 99.98736381530762}","{'asian': 89.99181985855103, 'indian': 0.7578128483146429, 'black': 0.04325522459112108, 'white': 0.5454457830637693, 'middle eastern': 0.026678317226469517, 'latino hispanic': 8.634986728429794}","{'angry': 1.7255402440241596e-06, 'disgust': 1.5712933392435366e-13, 'fear': 2.2405205868381017e-05, 'happy': 73.88817071914673, 'sad': 0.000844856276671635, 'surprise': 0.00011524091405590298, 'neutral': 26.11084282398224}",,
28,23,female,latino hispanic,neutral,26.076809620810597,89.11256790161133
28,23,"{'male': 0.02336144825676456, 'female': 99.97664093971252}","{'asian': 13.185632228851318, 'indian': 19.35652047395706, 'black': 2.782784402370453, 'white': 15.485106408596039, 'middle eastern': 11.784325540065765, 'latino hispanic': 37.405627965927124}","{'angry': 0.051526527064484115, 'disgust': 1.1243001854834698e-07, 'fear': 0.10381778628688618, 'happy': 0.016371873292979056, 'sad': 6.3155352991181255, 'surprise': 0.01504668728357556, 'neutral': 93.49770027426477}",,
29,30,female,indian,neutral,12.806248474865697,67.87405014038086
29,30,"{'male': 0.6423399318009615, 'female': 99.35765862464905}","{'asian': 0.5320360735527321, 'indian': 59.48840734293505, 'black': 0.33978467969803094, 'white': 3.12653053561035, 'middle eastern': 6.991096257632748, 'latino hispanic': 29.52214655412117}","{'angry': 0.01003005527309142, 'disgust': 1.809188465706768e-07, 'fear': 0.2896244404837489, 'happy': 1.2347672134637833, 'sad': 0.10226968443021178, 'surprise': 1.0282599367201328, 'neutral': 97.3350465297699}",,
30,31,female,asian,happy,37.0540146272978,92.1121597290039
30,31,"{'male': 0.003815990930888802, 'female': 99.99618530273438}","{'asian': 67.46591329574585, 'indian': 5.288221687078476, 'black': 0.5942435469478369, 'white': 1.7908895388245583, 'middle eastern': 0.5855315364897251, 'latino hispanic': 24.275203049182892}","{'angry': 2.63263832955829e-07, 'disgust': 8.75978163703689e-11, 'fear': 5.1787526444968535e-05, 'happy': 88.38278651237488, 'sad': 0.0013034868061367888, 'surprise': 0.04892618744634092, 'neutral': 11.56693696975708}",,
31,31,female,asian,neutral,2.23606797749979,98.92807006835938
