Image_No,age,gender,race,emotion,center_dist,space
16,29,"{'male': 100.0, 'female': 4.870415182267607e-06}","{'asian': 3.955282207651408e-06, 'indian': 0.2415369675338903, 'black': 1.162752742034784e-05, 'white': 0.36922162653844043, 'middle eastern': 98.74911323200307, 'latino hispanic': 0.6401093844939012}","{'angry': 2.2273276625511622e-14, 'disgust': 6.228156396045075e-30, 'fear': 2.3205387978914575e-21, 'happy': 99.99569654464722, 'sad': 2.339654926802403e-16, 'surprise': 1.945092420463368e-08, 'neutral': 0.004304236063035205}",,
17,20,female,latino hispanic,happy,254.4484230644788,41.56780242919922
17,20,"{'male': 8.15514624118805, 'female': 91.84485077857971}","{'asian': 0.6734806578606367, 'indian': 7.8020066022872925, 'black': 0.3414867678657174, 'white': 19.865059852600098, 'middle eastern': 35.18732190132141, 'latino hispanic': 36.130642890930176}","{'angry': 2.475541837595619e-10, 'disgust': 2.5164879200792037e-14, 'fear': 5.083256777695584e-12, 'happy': 99.01891940944907, 'sad': 1.9576277766601322e-06, 'surprise': 7.961484724182628e-09, 'neutral': 0.9810813356090388}",,
18,32,female,white,happy,130.862523283024,71.72527313232422
18,32,"{'male': 0.0002867295734176878, 'female': 99.99971389770508}","{'asian': 0.0032168349305888968, 'indian': 0.015687240582409685, 'black': 0.0005162789728591258, 'white': 83.19029707850797, 'middle eastern': 3.5921758319244286, 'latino hispanic': 13.19810975778757}","{'angry': 7.846918947951309e-09, 'disgust': 1.4273709006811246e-13, 'fear': 1.5261650276876537e-08, 'happy': 98.42628836631775, 'sad': 0.00029611394438688876, 'surprise': 0.00012078348845534492, 'neutral': 1.5732930973172188}",,
19,49,male,middle eastern,happy,245.29370150902773,50.722503662109375
19,49,"{'male': 100.0, 'female': 4.650315243992509e-07}","{'asian': 0.7639090996235609, 'indian': 7.570019364356995, 'black': 0.8239983581006527, 'white': 24.89396035671234, 'middle eastern': 47.14435935020447, 'latino hispanic': 18.803755939006805}","{'angry': 0.00013570225493207002, 'disgust': 9.396075055046678e-12, 'fear': 3.9687817186610053e-07, 'happy': 99.96415377090528, 'sad': 1.596833621488098e-05, 'surprise': 1.6962286218600726e-07, 'neutral': 0.03568581171074519}",,
20,24,male,white,happy,211.1492363235065,55.91850280761719
20,24,"{'male': 99.51960444450378, 'female': 0.48039243556559086}","{'asian': 0.07712590740993619, 'indian': 0.21539242006838322, 'black': 0.012792326742783189, 'white': 80.65873980522156, 'middle eastern': 10.59248223900795, 'latino hispanic': 8.443468064069748}","{'angry': 8.733586014386674e-05, 'disgust': 0.0002523064949855325, 'fear': 0.25792340748012066, 'happy': 68.42974424362183, 'sad': 1.9868714734911919, 'surprise': 0.002790508915495593, 'neutral': 29.32233214378357}",,
21,33,male,black,sad,278.01618657912707,44.5159912109375
21,33,"{'male': 82.6429009437561, 'female': 17.357100546360016}","{'asian': 0.14853915757219105, 'indian': 0.2926477580713918, 'black': 98.5760034828182, 'white': 0.11496412128637776, 'middle eastern': 0.049627758467241115, 'latino hispanic': 0.8182110220836375}","{'angry': 0.0002429214563745523, 'disgust': 4.377185333635345e-09, 'fear': 2.8610359720013125, 'happy': 7.888979113897345e-05, 'sad': 97.13852984538852, 'surprise': 3.129217904794376e-09, 'neutral': 0.00011550575442905494}",,
22,25,female,white,neutral,212.24985276791125,44.76890563964844
22,25,"{'male': 0.058244739193469286, 'female': 99.94175434112549}","{'asian': 0.1154750119894743, 'indian': 0.17965583829209208, 'black': 0.00675680857966654, 'white': 78.39112877845764, 'middle eastern': 9.61104929447174, 'latino hispanic': 11.695930361747742}","{'angry': 0.20189604256302118, 'disgust': 3.1976270520317485e-06, 'fear': 0.015842255379538983, 'happy': 0.0011880932106578257, 'sad': 0.6316059734672308, 'surprise': 0.00027929672796744853, 'neutral': 99.14918541908264}",,
23,28,male,black,neutral,233.20591759215716,44.70720291137695
23,28,"{'male': 99.9957799911499, 'female': 0.004215987428324297}","{'asian': 9.890600338735567e-07, 'indian': 2.676161727777071e-05, 'black': 99.99996423721313, 'white': 3.692552860701248e-09, 'middle eastern': 1.440883545290872e-10, 'latino hispanic': 5.97897624743382e-06}","{'angry': 1.9580914768771283e-05, 'disgust': 6.244227479066686e-20, 'fear': 6.213811086343493e-09, 'happy': 1.0822435149188195e-06, 'sad': 7.135576111192782e-06, 'surprise': 1.9095717465826305e-09, 'neutral': 99.99997019767584}",,
24,41,male,white,happy,232.13142829009607,49.46708679199219
