Image_No,age,gender,race,center_dist,space
18,"{'0-2': 2.798840981199646e-06, '3-9': 0.0006539949026773684, '10-19': 0.6942887790501118, '20-29': 70.51421999931335, '30-39': 27.593836188316345, '40-49': 1.1881062760949135, '50-59': 0.008816277113510296, '60-69': 8.583509156778746e-05, '70+': 1.3595758296958138e-06}","{'male': 0.01945980911841616, 'female': 99.98053908348083}","{'white': 70.46019434928894, 'black': 0.08870525634847581, 'latino hispanic': 24.197418987751007, 'asian': 0.010483014193596318, 'indian': 0.6805653683841228, 'middle eastern': 4.562631994485855}",,
19,20-29,female,white,46.01086828130937,80.2978515625
19,"{'0-2': 1.0520801119184853e-06, '3-9': 0.0028075492082280107, '10-19': 2.5070520117878914, '20-29': 87.23362684249878, '30-39': 10.210102051496506, '40-49': 0.046327419113367796, '50-59': 8.257012495960225e-05, '60-69': 5.05602448797049e-07, '70+': 1.1205893851728987e-08}","{'male': 0.0034543161746114492, 'female': 99.9965488910675}","{'white': 99.696946144104, 'black': 0.010372595716034994, 'latino hispanic': 0.27435459196567535, 'asian': 9.719075251268805e-05, 'indian': 0.003571394336177036, 'middle eastern': 0.014662831381428987}",,
20,20-29,female,white,32.55764119219941,85.23788452148438
20,"{'0-2': 7.48750927925812e-07, '3-9': 0.00024341979951714166, '10-19': 0.4499693401157856, '20-29': 51.05742812156677, '30-39': 47.67145216464996, '40-49': 0.8164386264979839, '50-59': 0.0044565400457941, '60-69': 1.9331362466346036e-05, '70+': 9.726057736969551e-08}","{'male': 0.0028256648874958046, 'female': 99.99716877937317}","{'white': 78.30795049667358, 'black': 0.030818709637969732, 'latino hispanic': 21.07349783182144, 'asian': 0.015216231986414641, 'indian': 0.06273112958297133, 'middle eastern': 0.5097790621221066}",,
21,20-29,female,white,46.01086828130937,77.19268798828125
21,"{'0-2': 1.9342227375318544e-06, '3-9': 0.0009550155482429545, '10-19': 1.0391836054623127, '20-29': 80.17438054084778, '30-39': 18.434637784957886, '40-49': 0.34899632446467876, '50-59': 0.0018325355995330028, '60-69': 1.9490110503284086e-05, '70+': 2.235142515516486e-07}","{'male': 0.0018834287402569316, 'female': 99.9981164932251}","{'white': 93.63492131233215, 'black': 0.008929253090173006, 'latino hispanic': 5.710246041417122, 'asian': 0.0014157695659378078, 'indian': 0.1080321497283876, 'middle eastern': 0.5364512093365192}",,
22,20-29,female,latino hispanic,19.026297590440446,92.20237731933594
22,"{'0-2': 5.725695917391249e-07, '3-9': 0.0014276810361479875, '10-19': 4.072554782032967, '20-29': 92.73477792739868, '30-39': 3.184351697564125, '40-49': 0.006879170541651547, '50-59': 6.8504384387324535e-06, '60-69': 3.842909046536391e-08, '70+': 3.853679961945966e-10}","{'male': 0.0006457160452555399, 'female': 99.99935626983643}","{'white': 10.066670924425125, 'black': 30.43333888053894, 'latino hispanic': 57.09317326545715, 'asian': 0.029295028070919216, 'indian': 2.180911973118782, 'middle eastern': 0.1966011244803667}",,
23,20-29,male,black,54.0,78.02009582519531
23,"{'0-2': 0.1364419935271144, '3-9': 4.75248284637928, '10-19': 33.158811926841736, '20-29': 49.719178676605225, '30-39': 10.510402917861938, '40-49': 1.5038620680570602, '50-59': 0.16013227868825197, '60-69': 0.04831451515201479, '70+': 0.01036988032865338}","{'male': 50.44771432876587, 'female': 49.55227971076965}","{'white': 3.9708908647298813, 'black': 41.38322174549103, 'latino hispanic': 22.00319617986679, 'asian': 25.720980763435364, 'indian': 4.656710475683212, 'middle eastern': 2.264990471303463}",,
24,20-29,female,white,31.04834939252005,84.44099426269531
24,"{'0-2': 1.2791850911852976e-07, '3-9': 0.00028501976885308977, '10-19': 1.3591408729553223, '20-29': 93.16089153289795, '30-39': 5.46688511967659, '40-49': 0.012784269347321242, '50-59': 1.2435025098511687e-05, '60-69': 8.280846008901221e-08, '70+': 7.545098226757752e-10}","{'male': 0.0003647889798230608, 'female': 99.99963641166687}","{'white': 81.50638937950134, 'black': 0.07518423954024911, 'latino hispanic': 17.68210232257843, 'asian': 0.10899413609877229, 'indian': 0.3464177716523409, 'middle eastern': 0.2809163648635149}",,
25,20-29,female,latino hispanic,35.38361202590826,74.517822265625
25,"{'0-2': 2.369684359848634e-06, '3-9': 0.0018364153220318258, '10-19': 3.2033659517765045, '20-29': 88.46539258956909, '30-39': 8.279501646757126, '40-49': 0.04977013450115919, '50-59': 0.0001263955937247374, '60-69': 8.782504501425592e-07, '70+': 8.539441376242962e-09}","{'male': 0.002298371327924542, 'female': 99.99769926071167}","{'white': 9.843385964632034, 'black': 4.029343277215958, 'latino hispanic': 82.29712247848511, 'asian': 0.09839951526373625, 'indian': 3.5722456872463226, 'middle eastern': 0.15950151719152927}",,
26,20-29,female,latino hispanic,96.77293009927932,47.0184326171875
26,"{'0-2': 2.947312793821766e-06, '3-9': 0.009155434236163273, '10-19': 5.210358649492264, '20-29': 91.29259586334229, '30-39': 3.4748006612062454, '40-49': 0.01305929763475433, '50-59': 2.722728709159128e-05, '60-69': 3.443253460133633e-07, '70+': 4.638991968342054e-09}","{'male': 0.0003892504537361674, 'female': 99.99961256980896}","{'white': 32.77599215507507, 'black': 0.30454068910330534, 'latino hispanic': 60.56812405586243, 'asian': 0.21928898058831692, 'indian': 1.9428672268986702, 'middle eastern': 4.189175367355347}",,
27,20-29,female,black,83.52843827104634,59.139251708984375
27,"{'0-2': 3.1276392586931934e-07, '3-9': 0.0010469392691447865, '10-19': 2.3987125605344772, '20-29': 93.17927360534668, '30-39': 4.413485527038574, '40-49': 0.007469072443200275, '50-59': 1.5072329517806793e-05, '60-69': 5.012772419377143e-08, '70+': 4.6019746173520115e-10}","{'male': 0.001214803705806844, 'female': 99.99878406524658}","{'white': 0.0362711405614391, 'black': 98.47164750099182, 'latino hispanic': 0.6405225489288568, 'asian': 0.0011414078471716493, 'indian': 0.8414642885327339, 'middle eastern': 0.008952122152550146}",,
28,20-29,female,black,74.54528824815154,68.50433349609375
28,"{'0-2': 2.2869535598601942e-05, '3-9': 0.061699835350736976, '10-19': 17.986957728862762, '20-29': 78.327876329422, '30-39': 3.60138937830925, '40-49': 0.02199487207690254, '50-59': 6.358834525599377e-05, '60-69': 8.020780484230272e-07, '70+': 2.6883584247627823e-08}","{'male': 0.10637788800522685, 'female': 99.89362359046936}","{'white': 0.17041409155353904, 'black': 89.16555047035217, 'latino hispanic': 3.9612043648958206, 'asian': 0.011486276343930513, 'indian': 6.671562045812607, 'middle eastern': 0.019779943977482617}",,
29,20-29,female,latino hispanic,65.92419889539804,67.76123046875
29,"{'0-2': 0.00011080047670475324, '3-9': 0.15076642157509923, '10-19': 14.497511088848114, '20-29': 82.1505606174469, '30-39': 3.1643465161323547, '40-49': 0.03646186669357121, '50-59': 0.0002415419658063911, '60-69': 5.2019217378074245e-06, '70+': 1.3367764672977955e-07}","{'male': 0.10156091302633286, 'female': 99.89843964576721}","{'white': 18.519997596740723, 'black': 1.0741247795522213, 'latino hispanic': 61.33336424827576, 'asian': 0.12077362043783069, 'indian': 14.989069104194641, 'middle eastern': 3.962669149041176}",,
30,20-29,female,white,46.09772228646444,80.49087524414062
30,"{'0-2': 5.12593949508755e-06, '3-9': 0.004793283005710691, '10-19': 5.101887136697769, '20-29': 88.85769844055176, '30-39': 5.997217446565628, '40-49': 0.038287308416329324, '50-59': 0.00011287509096291615, '60-69': 1.3543053789533133e-06, '70+': 2.897826978376372e-08}","{'male': 0.015957257710397243, 'female': 99.98404383659363}","{'white': 99.84583854675293, 'black': 8.532560400453804e-05, 'latino hispanic': 0.09146516094915569, 'asian': 0.0011298996469122358, 'indian': 0.0014000192095409147, 'middle eastern': 0.06008977070450783}",,
31,20-29,female,latino hispanic,9.0,86.74430847167969
31,"{'0-2': 7.512155342226379e-07, '3-9': 0.0008122671715682372, '10-19': 2.0533667877316475, '20-29': 89.50098752975464, '30-39': 8.398515731096268, '40-49': 0.046199915232136846, '50-59': 0.00011694286286001443, '60-69': 8.104834137157013e-07, '70+': 8.32133806305535e-09}","{'male': 0.014081444533076137, 'female': 99.98592138290405}","{'white': 12.38541454076767, 'black': 3.526023030281067, 'latino hispanic': 81.31118416786194, 'asian': 0.019360410806257278, 'indian': 2.455584891140461, 'middle eastern': 0.30243941582739353}",,
32,30-39,female,white,34.0,50.9765625
32,"{'0-2': 0.0030794286431046203, '3-9': 0.04762760363519192, '10-19': 1.6859587281942368, '20-29': 42.535483837127686, '30-39': 45.207515358924866, '40-49': 9.59881991147995, '50-59': 0.8153868839144707, '60-69': 0.09040745790116489, '70+': 0.015723242540843785}","{'male': 36.2982302904129, 'female': 63.70176672935486}","{'white': 84.52575206756592, 'black': 0.8039383217692375, 'latino hispanic': 6.179925426840782, 'asian': 1.3310515321791172, 'indian': 1.4078312553465366, 'middle eastern': 5.751512944698334}",,
33,20-29,female,black,18.0,74.0264892578125
33,"{'0-2': 8.603404211271481e-07, '3-9': 0.002154700268874876, '10-19': 3.5209927707910538, '20-29': 89.98965620994568, '30-39': 6.445127725601196, '40-49': 0.04200398689135909, '50-59': 6.779739010198682e-05, '60-69': 3.611659860069949e-07, '70+': 3.3271628507858253e-09}","{'male': 0.0002464490307829692, 'female': 99.99975562095642}","{'white': 0.9082460775971413, 'black': 46.657487750053406, 'latino hispanic': 41.28747880458832, 'asian': 0.15279380604624748, 'indian': 10.843203961849213, 'middle eastern': 0.15078199794515967}",,
34,20-29,female,white,33.24154027718932,74.18060302734375
34,"{'0-2': 2.622402517360456e-07, '3-9': 0.0003336395138830994, '10-19': 1.116783358156681, '20-29': 88.0161464214325, '30-39': 10.793264955282211, '40-49': 0.07334357942454517, '50-59': 0.0001290217710447905, '60-69': 1.173622710126665e-06, '70+': 1.0949229023449192e-08}","{'male': 0.00257506162597565, 'female': 99.9974250793457}","{'white': 78.62384915351868, 'black': 0.013602366379927844, 'latino hispanic': 17.662937939167023, 'asian': 0.023438215430360287, 'indian': 0.5615210626274347, 'middle eastern': 3.11463363468647}",,
35,20-29,female,white,143.54441821262154,37.47749328613281
35,"{'0-2': 9.252741683951626e-07, '3-9': 0.0022156395061756484, '10-19': 2.7603957802057266, '20-29': 88.70329260826111, '30-39': 8.42718556523323, '40-49': 0.1066460506990552, '50-59': 0.0002660256086528534, '60-69': 2.4353793648401734e-06, '70+': 5.7604288006274373e-08}","{'male': 0.0030952800443628803, 'female': 99.99690651893616}","{'white': 95.60517072677612, 'black': 0.019572368182707578, 'latino hispanic': 3.685295209288597, 'asian': 0.0032953499612631276, 'indian': 0.03735716745723039, 'middle eastern': 0.6493046414107084}",,
36,20-29,female,latino hispanic,54.405882034941776,68.57757568359375
36,"{'0-2': 3.8033189042607773e-06, '3-9': 0.03539951576385647, '10-19': 21.659548580646515, '20-29': 77.44559645652771, '30-39': 0.8569742552936077, '40-49': 0.002479147042322438, '50-59': 3.7282124054627275e-06, '60-69': 8.500207204775734e-08, '70+': 1.771671004346942e-09}","{'male': 0.030901527497917414, 'female': 99.96910095214844}","{'white': 15.472447872161865, 'black': 0.6338725332170725, 'latino hispanic': 73.87269735336304, 'asian': 0.1124489470385015, 'indian': 7.22123458981514, 'middle eastern': 2.6872947812080383}",,
37,20-29,female,white,7.810249675906656,48.72474670410156
37,"{'0-2': 0.00024363416741834953, '3-9': 0.20945407450199127, '10-19': 13.255010545253754, '20-29': 79.21881675720215, '30-39': 7.240033894777298, '40-49': 0.07597673102281988, '50-59': 0.0004536143478617305, '60-69': 8.040954213583973e-06, '70+': 2.7165281135665964e-07}","{'male': 0.10210463078692555, 'female': 99.89789724349976}","{'white': 98.32106828689575, 'black': 0.009033690730575472, 'latino hispanic': 0.5281871184706688, 'asian': 0.00858117564348504, 'indian': 0.0024073156964732334, 'middle eastern': 1.1307195760309696}",,
38,20-29,male,latino hispanic,68.00735254367721,72.95608520507812
38,"{'0-2': 0.02446529979351908, '3-9': 1.6075374558568, '10-19': 19.393594563007355, '20-29': 52.137744426727295, '30-39': 20.621246099472046, '40-49': 5.214341729879379, '50-59': 0.7324039936065674, '60-69': 0.22247254382818937, '70+': 0.04619215615093708}","{'male': 67.25175380706787, 'female': 32.74824619293213}","{'white': 16.347430646419525, 'black': 7.073436677455902, 'latino hispanic': 37.91722059249878, 'asian': 5.0590600818395615, 'indian': 10.134432464838028, 'middle eastern': 23.468419909477234}",,
39,20-29,female,white,14.866068747318504,91.03012084960938
39,"{'0-2': 4.058718516830595e-06, '3-9': 0.004386077853268944, '10-19': 1.123565062880516, '20-29': 57.56446123123169, '30-39': 38.90557885169983, '40-49': 2.372986823320389, '50-59': 0.02889424213208258, '60-69': 0.0001213881091643998, '70+': 2.881894012318753e-06}","{'male': 0.0025084162189159542, 'female': 99.99749660491943}","{'white': 99.98466372489929, 'black': 3.2201174349211215e-05, 'latino hispanic': 0.014052198093850166, 'asian': 1.9048464139359567e-06, 'indian': 8.525979637852288e-05, 'middle eastern': 0.001165456615126459}",,
