Image_No,age,gender,race,emotion,center_dist,space
22,30,"{'male': 99.9743402004242, 'female': 0.025660439860075712}","{'asian': 0.19519859924912453, 'indian': 0.24008362088352442, 'black': 0.004837534652324393, 'white': 73.83905053138733, 'middle eastern': 12.25857362151146, 'latino hispanic': 13.462255895137787}","{'angry': 8.956975786067467e-10, 'disgust': 6.069722087943406e-17, 'fear': 1.6396711462543512e-10, 'happy': 99.39953684806824, 'sad': 8.254887440273251e-07, 'surprise': 1.9244239535254337e-07, 'neutral': 0.6004654336720705}",,
23,32,male,white,happy,91.02197536858888,64.01710510253906
23,32,"{'male': 99.99998807907104, 'female': 6.566585142309123e-06}","{'asian': 2.9431180337269325e-05, 'indian': 0.00018217014030597056, 'black': 3.3065870042037204e-06, 'white': 98.73017072677612, 'middle eastern': 0.8515102788805962, 'latino hispanic': 0.41810800321400166}","{'angry': 2.254033107894609e-12, 'disgust': 4.0882511802281645e-23, 'fear': 3.0803173690070284e-15, 'happy': 99.99994039535522, 'sad': 1.888355601444361e-11, 'surprise': 5.18493442625001e-09, 'neutral': 5.9650983530445956e-05}",,
24,31,male,white,neutral,15.03329637837291,72.56698608398438
24,31,"{'male': 99.9977707862854, 'female': 0.0022326179532683454}","{'asian': 2.4333455538891267e-10, 'indian': 8.452419823818762e-10, 'black': 4.84600198799522e-13, 'white': 99.99603629088618, 'middle eastern': 0.0011891111880045998, 'latino hispanic': 0.002777260653611442}","{'angry': 1.4908561496440598e-06, 'disgust': 5.4937858818476925e-15, 'fear': 2.9747933005808136e-07, 'happy': 1.1996331039654251e-06, 'sad': 0.0006022980414854828, 'surprise': 4.051702482093904e-13, 'neutral': 99.99939203262329}",,
25,28,female,white,happy,32.202484376209235,61.963653564453125
25,28,"{'male': 0.00014182810446072835, 'female': 99.99985694885254}","{'asian': 0.00016668231948978473, 'indian': 0.00019567083911486782, 'black': 5.508831497361853e-07, 'white': 99.06362289569515, 'middle eastern': 0.3047692072626476, 'latino hispanic': 0.6312430281187908}","{'angry': 9.951389507842723e-16, 'disgust': 3.387738645973809e-32, 'fear': 1.5442266712341953e-22, 'happy': 99.9995648860672, 'sad': 3.1676416254169765e-14, 'surprise': 9.711286173964224e-12, 'neutral': 0.0004354300731723427}",,
26,26,male,white,happy,90.00555538409836,64.13230895996094
26,26,"{'male': 99.99958276748657, 'female': 0.00041241228245780803}","{'asian': 0.09628128019347967, 'indian': 0.81195864078156, 'black': 0.03921362746942058, 'white': 60.173455487099616, 'middle eastern': 23.497314661581196, 'latino hispanic': 15.381776713238759}","{'angry': 6.7819179271911345e-15, 'disgust': 5.478478089855163e-23, 'fear': 1.1092386692977887e-17, 'happy': 99.96225237621381, 'sad': 4.642786779205063e-09, 'surprise': 8.579676109835404e-11, 'neutral': 0.03774734438939955}",,
27,33,male,middle eastern,happy,7.280109889280519,96.307373046875
27,33,"{'male': 99.99998807907104, 'female': 1.2120744941057637e-05}","{'asian': 0.026873144088312984, 'indian': 3.6347646266222, 'black': 0.031479267636314034, 'white': 17.46489405632019, 'middle eastern': 69.79250311851501, 'latino hispanic': 9.049489349126816}","{'angry': 8.277458085219729e-15, 'disgust': 9.462652787848193e-28, 'fear': 1.568285650669097e-18, 'happy': 99.99924898147583, 'sad': 1.7564479652497486e-13, 'surprise': 1.7827000292625073e-09, 'neutral': 0.0007568618912046077}",,
28,37,male,white,fear,79.30952023559341,62.06207275390625
28,37,"{'male': 89.62683081626892, 'female': 10.37316620349884}","{'asian': 0.31091938726603985, 'indian': 0.4328740295022726, 'black': 0.05957981338724494, 'white': 63.90579342842102, 'middle eastern': 29.49802875518799, 'latino hispanic': 5.792801082134247}","{'angry': 2.1306247433017234e-06, 'disgust': 3.658692310343701e-15, 'fear': 92.03432202339172, 'happy': 1.5144432582991918e-09, 'sad': 6.0306258499622345, 'surprise': 3.7457637360772955e-11, 'neutral': 1.9350569695234299}",,
29,32,male,white,happy,101.00495037373169,60.0738525390625
29,32,"{'male': 99.99974966049194, 'female': 0.0002528629011067096}","{'asian': 1.1247621283074848e-07, 'indian': 6.258145930339744e-07, 'black': 2.0222907887955775e-09, 'white': 99.92235302462298, 'middle eastern': 0.04499729234243437, 'latino hispanic': 0.03265197932694729}","{'angry': 4.823907952316705e-18, 'disgust': 1.2631709052420398e-35, 'fear': 1.0304326092614361e-25, 'happy': 99.9997615814209, 'sad': 2.1983021678262786e-16, 'surprise': 1.441353217648586e-14, 'neutral': 0.0002370616130065173}",,
30,30,male,white,happy,39.319206502674994,81.634521484375
30,30,"{'male': 99.99619722366333, 'female': 0.003799291152972728}","{'asian': 3.0806295014951246e-10, 'indian': 1.9056627803548665e-09, 'black': 4.1341823153327913e-13, 'white': 99.98101592063904, 'middle eastern': 0.011072103370679542, 'latino hispanic': 0.007911245484137908}","{'angry': 4.9638837826401425e-12, 'disgust': 7.593092512650594e-24, 'fear': 1.0231025411627604e-18, 'happy': 99.99998807907104, 'sad': 2.0570158423827145e-09, 'surprise': 4.2248045575932164e-17, 'neutral': 1.6084720755316084e-05}",,
31,40,male,white,happy,96.04686356149273,61.30943298339844
