Image_No,age,gender,race,emotion,center_dist,space
18,45,"{'male': 99.96050000190735, 'female': 0.039499864215031266}","{'asian': 0.05604099133051932, 'indian': 0.2698410302400589, 'black': 0.01084396499209106, 'white': 78.58029007911682, 'middle eastern': 16.224846243858337, 'latino hispanic': 4.858134686946869}","{'angry': 62.600505352020264, 'disgust': 0.0014115455996943638, 'fear': 0.41145305149257183, 'happy': 0.05410215235315263, 'sad': 20.538772642612457, 'surprise': 0.0004218754838802852, 'neutral': 16.393332183361053}",,
19,49,male,white,angry,19.4164878389476,94.75793838500977
19,49,"{'male': 99.99444484710693, 'female': 0.0055529209930682555}","{'asian': 0.1248341053724289, 'indian': 3.4938011318445206, 'black': 0.07364910561591387, 'white': 42.857274413108826, 'middle eastern': 37.37900257110596, 'latino hispanic': 16.071440279483795}","{'angry': 59.44042205810547, 'disgust': 1.1741745353788247e-06, 'fear': 0.008665851055411622, 'happy': 0.763690983876586, 'sad': 7.26587250828743, 'surprise': 0.0002958421418952639, 'neutral': 32.52105712890625}",,
20,34,male,white,neutral,20.39607805437114,91.67900085449219
20,34,"{'male': 99.99805688858032, 'female': 0.0019483421056065708}","{'asian': 1.2170401401817799, 'indian': 1.998346485197544, 'black': 0.33341445960104465, 'white': 53.24280858039856, 'middle eastern': 21.202068030834198, 'latino hispanic': 22.00632244348526}","{'angry': 3.2791560607645547, 'disgust': 7.505941316235005e-08, 'fear': 0.005497252241428144, 'happy': 0.01114794134136126, 'sad': 1.886120923526342, 'surprise': 4.941412906955917e-05, 'neutral': 94.8180255185381}",,
21,28,male,black,neutral,56.32051136131489,72.90544509887695
21,28,"{'male': 99.99487400054932, 'female': 0.005126122050569393}","{'asian': 0.00937305303523317, 'indian': 0.005645484634442255, 'black': 99.98252987861633, 'white': 5.252523305188106e-07, 'middle eastern': 1.500928714648353e-07, 'latino hispanic': 0.002454306923027616}","{'angry': 4.193218797445297, 'disgust': 1.56306089897423e-12, 'fear': 3.4892899236638186e-06, 'happy': 2.9000776180510002e-05, 'sad': 0.09572753915563226, 'surprise': 7.718537614609389e-09, 'neutral': 95.71102261543274}",,
22,27,male,white,neutral,14.866068747318506,92.6218032836914
22,27,"{'male': 99.99871253967285, 'female': 0.0012908911230624653}","{'asian': 0.6135336123406887, 'indian': 0.4284127149730921, 'black': 0.048710170085541904, 'white': 60.77149510383606, 'middle eastern': 10.351531207561493, 'latino hispanic': 27.786320447921753}","{'angry': 12.719454629388727, 'disgust': 0.014575171512841226, 'fear': 19.80441181685995, 'happy': 1.1719207977903365, 'sad': 14.952135977276324, 'surprise': 0.7051972627012291, 'neutral': 50.632306971091445}",,
23,29,male,black,neutral,23.3452350598575,89.51187133789062
