Image_No,age,gender,race,center_dist,space
19,30-39,male,white,120.26637102698328,50.86212158203125
19,"{'0-2': 0.0009779691936273593, '3-9': 0.02060584956780076, '10-19': 1.3994460925459862, '20-29': 12.480323761701584, '30-39': 46.96277976036072, '40-49': 38.1379634141922, '50-59': 0.9836231358349323, '60-69': 0.01393643906340003, '70+': 0.00033617984627198894}","{'male': 99.95242953300476, 'female': 0.04757409915328026}","{'white': 93.32194924354553, 'black': 4.6464094793918775e-05, 'latino hispanic': 0.11126087047159672, 'asian': 0.007835382712073624, 'indian': 0.04374928830657154, 'middle eastern': 6.515162438154221}",,
20,30-39,male,white,61.351446600711874,22.504806518554688
20,"{'0-2': 9.891433592201793e-05, '3-9': 0.002633284566400107, '10-19': 0.6265439558774233, '20-29': 36.555418372154236, '30-39': 59.9501371383667, '40-49': 2.8106829151511192, '50-59': 0.05365247488953173, '60-69': 0.0008004843948583584, '70+': 3.202278264780034e-05}","{'male': 63.77018690109253, 'female': 36.22981607913971}","{'white': 99.3406891822815, 'black': 0.004657580575440079, 'latino hispanic': 0.22627850994467735, 'asian': 0.0007776646270940546, 'indian': 0.007331735105253756, 'middle eastern': 0.42026350274682045}",,
21,20-29,female,white,111.400179533069,22.1527099609375
21,"{'0-2': 0.00019459566829027608, '3-9': 0.42516347020864487, '10-19': 40.53390622138977, '20-29': 57.59936571121216, '30-39': 1.4212965965270996, '40-49': 0.01987406867556274, '50-59': 0.0001866646471171407, '60-69': 9.39447346581801e-06, '70+': 6.011043662823568e-07}","{'male': 0.0997497234493494, 'female': 99.9002456665039}","{'white': 54.90164756774902, 'black': 0.26028547435998917, 'latino hispanic': 27.407103776931763, 'asian': 1.3988878577947617, 'indian': 1.1963860131800175, 'middle eastern': 14.835679531097412}",,
22,10-19,female,white,162.8649747490233,31.05010986328125
22,"{'0-2': 0.00019492094907036517, '3-9': 0.47827265225350857, '10-19': 53.93650531768799, '20-29': 44.233688712120056, '30-39': 1.3315442018210888, '40-49': 0.01954685285454616, '50-59': 0.00021803477920911973, '60-69': 1.9246292026764422e-05, '70+': 1.8099617804523405e-06}","{'male': 14.48432058095932, 'female': 85.51568388938904}","{'white': 91.90285801887512, 'black': 0.030114551191218197, 'latino hispanic': 3.2323282212018967, 'asian': 0.17927999142557383, 'indian': 0.05246047512628138, 'middle eastern': 4.602967947721481}",,
23,30-39,male,white,128.69343417595167,30.96160888671875
23,"{'0-2': 0.0027143632905790582, '3-9': 0.012695541954599321, '10-19': 0.7057447452098131, '20-29': 16.91908687353134, '30-39': 45.04709243774414, '40-49': 23.026269674301147, '50-59': 13.216543197631836, '60-69': 1.0232051834464073, '70+': 0.046641158405691385}","{'male': 99.78049993515015, 'female': 0.21950069349259138}","{'white': 97.57041335105896, 'black': 0.11198503198102117, 'latino hispanic': 0.9810326620936394, 'asian': 0.013358319120015949, 'indian': 0.0358604418579489, 'middle eastern': 1.2873467057943344}",,
24,20-29,female,white,150.5257453062432,35.778045654296875
24,"{'0-2': 8.323577560531703e-06, '3-9': 0.05519085098057985, '10-19': 19.43090558052063, '20-29': 77.07003355026245, '30-39': 3.3880501985549927, '40-49': 0.05558860721066594, '50-59': 0.00021244400159048382, '60-69': 5.374336353725084e-06, '70+': 2.424172196313634e-07}","{'male': 0.006615964957745746, 'female': 99.99338388442993}","{'white': 60.99569797515869, 'black': 0.0010176094292546622, 'latino hispanic': 0.3660106798633933, 'asian': 0.006934112025192007, 'indian': 0.011795152386184782, 'middle eastern': 38.61854076385498}",,
25,30-39,male,white,121.80722474467595,47.52197265625
25,"{'0-2': 0.0001246639385499293, '3-9': 0.002402159407211002, '10-19': 0.13004359789192677, '20-29': 46.101853251457214, '30-39': 51.95993781089783, '40-49': 1.7974909394979477, '50-59': 0.008096965757431462, '60-69': 5.1888616781070596e-05, '70+': 9.765015462903648e-07}","{'male': 99.99985098838806, 'female': 0.00015579831824652501}","{'white': 59.06994342803955, 'black': 0.03829586203210056, 'latino hispanic': 12.433130294084549, 'asian': 0.004948900823364966, 'indian': 3.7963639944791794, 'middle eastern': 24.657320976257324}",,
26,50-59,male,white,99.68951800465283,55.81207275390625
26,"{'0-2': 0.00023088109628588427, '3-9': 0.00015408212448164704, '10-19': 0.006361285340972245, '20-29': 0.09889989160001278, '30-39': 2.334427088499069, '40-49': 29.8098087310791, '50-59': 64.71711993217468, '60-69': 3.013732470571995, '70+': 0.019261176930740476}","{'male': 99.99867677688599, 'female': 0.0013217151717981324}","{'white': 99.60943460464478, 'black': 0.0003794399390244507, 'latino hispanic': 0.16632546903565526, 'asian': 0.0007977091627253685, 'indian': 0.01017023460008204, 'middle eastern': 0.2128819702193141}",,
27,20-29,female,black,155.00322577288512,34.7442626953125
