Image_No,age,gender,race,center_dist,space
15,"{'0-2': 3.6234201417073564e-06, '3-9': 0.019487913232296705, '10-19': 19.07253861427307, '20-29': 79.65185046195984, '30-39': 1.2524202466011047, '40-49': 0.0037008205254096538, '50-59': 2.5476884601971506e-06, '60-69': 5.289520488283017e-08, '70+': 9.934899257435514e-10}","{'male': 0.009827804024098441, 'female': 99.99017715454102}","{'white': 86.03656888008118, 'black': 0.0016605930795776658, 'latino hispanic': 3.9672110229730606, 'asian': 0.03002687299158424, 'indian': 0.10691529605537653, 'middle eastern': 9.85761359333992}",,
16,20-29,female,latino hispanic,66.75327707311455,83.21857452392578
16,"{'0-2': 5.667742275505816e-07, '3-9': 0.006174615555210039, '10-19': 11.502230167388916, '20-29': 86.87245845794678, '30-39': 1.6157284379005432, '40-49': 0.0034015603887382895, '50-59': 4.676739706610533e-06, '60-69': 5.173751982390229e-08, '70+': 5.52970820175136e-10}","{'male': 0.02295673912158236, 'female': 99.97704029083252}","{'white': 1.113174669444561, 'black': 0.19873057026416063, 'latino hispanic': 69.71102356910706, 'asian': 0.21057005506008863, 'indian': 27.79923975467682, 'middle eastern': 0.9672604501247406}",,
17,20-29,female,black,29.61418578992169,92.75264739990234
17,"{'0-2': 7.417409619847604e-06, '3-9': 0.0207407254492864, '10-19': 10.279843211174011, '20-29': 84.46651101112366, '30-39': 5.19702211022377, '40-49': 0.03570244589354843, '50-59': 0.0001650465719649219, '60-69': 1.9274930096457865e-06, '70+': 2.5561619487746157e-08}","{'male': 0.1350646954961121, 'female': 99.86492991447449}","{'white': 0.45272447168827057, 'black': 39.44560885429382, 'latino hispanic': 19.56120878458023, 'asian': 0.8204368874430656, 'indian': 39.3565833568573, 'middle eastern': 0.3634323365986347}",,
18,10-19,female,black,35.440090293338706,90.86570739746094
18,"{'0-2': 9.518227557236969e-05, '3-9': 0.7608713116496801, '10-19': 65.2280867099762, '20-29': 33.73318314552307, '30-39': 0.2770128892734647, '40-49': 0.0007527248726546532, '50-59': 1.2290092499256389e-06, '60-69': 3.569970430383762e-08, '70+': 1.6753582895989716e-09}","{'male': 0.5254851654171944, 'female': 99.4745135307312}","{'white': 0.009169286931864917, 'black': 99.3776261806488, 'latino hispanic': 0.30891706701368093, 'asian': 0.0033659107430139557, 'indian': 0.29902383685112, 'middle eastern': 0.0018937991626444273}",,
19,20-29,female,white,23.40939982143925,75.17738342285156
19,"{'0-2': 8.034140108748034e-06, '3-9': 0.04463335208129138, '10-19': 25.59996247291565, '20-29': 73.87157678604126, '30-39': 0.4829348064959049, '40-49': 0.0008755036105867475, '50-59': 9.518696941768212e-07, '60-69': 3.402326198553851e-08, '70+': 5.835697810402385e-10}","{'male': 0.0019137767594656907, 'female': 99.99808669090271}","{'white': 69.50011253356934, 'black': 0.014212065434549004, 'latino hispanic': 25.259453058242798, 'asian': 0.08606929332017899, 'indian': 0.9838015772402287, 'middle eastern': 4.156343266367912}",,
20,20-29,female,black,77.10382610480495,80.6060791015625
20,"{'0-2': 3.7184346268759327e-06, '3-9': 0.038945587584748864, '10-19': 41.67201519012451, '20-29': 56.96716904640198, '30-39': 1.3178914785385132, '40-49': 0.003968854070990346, '50-59': 7.5749646555323125e-06, '60-69': 6.219281756258965e-08, '70+': 8.030598755426333e-10}","{'male': 0.028962301439605653, 'female': 99.97103214263916}","{'white': 0.0026229301511193626, 'black': 94.04423236846924, 'latino hispanic': 1.310866978019476, 'asian': 0.0031819861760595813, 'indian': 4.6357352286577225, 'middle eastern': 0.003363492578500882}",,
21,20-29,female,white,21.840329667841555,92.79937744140625
21,"{'0-2': 2.098573093078926e-07, '3-9': 0.008635857375338674, '10-19': 33.96734297275543, '20-29': 65.51201343536377, '30-39': 0.5114179104566574, '40-49': 0.0005859964403498452, '50-59': 2.123197173631297e-07, '60-69': 2.4690707811636514e-09, '70+': 4.925609074259152e-11}","{'male': 0.0002845878952939529, 'female': 99.99971389770508}","{'white': 95.92249393463135, 'black': 0.0009910542758007068, 'latino hispanic': 1.1385554447770119, 'asian': 0.012526627688203007, 'indian': 0.008017611980903894, 'middle eastern': 2.917417511343956}",,
22,20-29,female,latino hispanic,34.43835071544513,71.97189331054688
22,"{'0-2': 3.165907980218208e-07, '3-9': 0.005703835631720722, '10-19': 14.731916785240173, '20-29': 84.07006859779358, '30-39': 1.191066112369299, '40-49': 0.0012491134839365259, '50-59': 6.340115099590093e-07, '60-69': 1.0395004301777533e-08, '70+': 1.1721484243290559e-10}","{'male': 0.0030118731956463307, 'female': 99.99698400497437}","{'white': 8.692976087331772, 'black': 0.16418801387771964, 'latino hispanic': 57.51141905784607, 'asian': 0.1419806620106101, 'indian': 22.208404541015625, 'middle eastern': 11.281037330627441}",,
23,20-29,female,white,23.194827009486403,79.98714447021484
