Image_No,age,gender,race,center_dist,space
17,"{'0-2': 0.0002807250211844803, '3-9': 6.626857817173004, '10-19': 85.25840640068054, '20-29': 8.08560997247696, '30-39': 0.028795705293305218, '40-49': 5.349311322788708e-05, '50-59': 7.724458850333349e-08, '60-69': 2.7353189158141333e-09, '70+': 2.00594358831796e-10}","{'male': 0.9029658511281013, 'female': 99.09703731536865}","{'white': 0.00035067930639343103, 'black': 99.48099255561829, 'latino hispanic': 0.008592506492277607, 'asian': 0.00224383929889882, 'indian': 0.5076644942164421, 'middle eastern': 0.00016017710322557832}",,
18,20-29,female,asian,196.65197685250968,54.599952697753906
18,"{'0-2': 1.3856305258741486e-05, '3-9': 0.05132880178280175, '10-19': 20.891574025154114, '20-29': 78.53067517280579, '30-39': 0.5247499793767929, '40-49': 0.0016573188986512832, '50-59': 9.95708138162854e-07, '60-69': 6.326351109642303e-08, '70+': 8.967921891200881e-10}","{'male': 0.0016879388567758724, 'female': 99.99831318855286}","{'white': 0.01809021778171882, 'black': 0.00039563842619827483, 'latino hispanic': 0.05728906253352761, 'asian': 99.89431500434875, 'indian': 0.028380186995491385, 'middle eastern': 0.001531536690890789}",,
19,20-29,male,black,291.0463880552377,39.776611328125
19,"{'0-2': 1.2776640856415611e-08, '3-9': 8.116631278198838e-06, '10-19': 0.06369728944264352, '20-29': 54.140955209732056, '30-39': 45.403677225112915, '40-49': 0.3913912456482649, '50-59': 0.0002741400294326013, '60-69': 6.339056390913811e-07, '70+': 6.391559503882149e-09}","{'male': 99.99999403953552, 'female': 4.349359272737274e-06}","{'white': 7.797951298016415e-05, 'black': 92.48911142349243, 'latino hispanic': 0.0018785465726978146, 'asian': 2.522758002498904e-06, 'indian': 7.508888095617294, 'middle eastern': 4.727347686639405e-05}",,
20,20-29,female,latino hispanic,254.02558926218438,39.834022521972656
20,"{'0-2': 2.0252068910764365e-07, '3-9': 0.02143901219824329, '10-19': 14.71429169178009, '20-29': 84.72086787223816, '30-39': 0.5429291632026434, '40-49': 0.0004803606771019986, '50-59': 1.7821685238672558e-07, '60-69': 3.890987879118235e-09, '70+': 3.899985260950867e-11}","{'male': 4.585394322020875e-05, 'female': 99.99995827674866}","{'white': 9.545537829399109, 'black': 0.012701000378001481, 'latino hispanic': 66.52510166168213, 'asian': 2.7105754241347313, 'indian': 19.30217146873474, 'middle eastern': 1.9039018079638481}",,
21,20-29,male,indian,201.08953229842672,52.40592956542969
21,"{'0-2': 2.3348083288965427e-05, '3-9': 0.002614234108477831, '10-19': 0.8252435363829136, '20-29': 76.49587392807007, '30-39': 22.29533940553665, '40-49': 0.37999835330992937, '50-59': 0.0008849260666465852, '60-69': 1.973450878267613e-05, '70+': 2.787210684473962e-07}","{'male': 99.99902248382568, 'female': 0.0009733437764225528}","{'white': 4.329388588666916, 'black': 0.011424319382058457, 'latino hispanic': 11.629191786050797, 'asian': 0.029587533208541572, 'indian': 66.89735651016235, 'middle eastern': 17.103050649166107}",,
22,20-29,male,asian,256.28109567426156,48.193359375
